UF;Ano;Especie;Grupo;Uso;Quantidade;Valor_Corrigido_IPCA_Mil_R$;Preco_Medio_Corrigido_IPCA
Sergipe;2017;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;687;224.071968;326.16927599999997
Minas Gerais;1995;Eucalipto;2 - Outros produtos; Não especificado;12077;3810.68379;315.537204
Paraná;1994;Eucalipto;2 - Outros produtos; Não especificado;142;43.557876;306.73317599999996
Mato Grosso;2013;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;111695;31294.306248;280.174008
Paraná;2006;Eucalipto;2 - Outros produtos; Não especificado;1340;359.011032;267.924012
Mato Grosso;2016;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;80000;21379.783542;267.251628
Amapá;2013;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;136258;35435.981567999996;260.065524
Amapá;2013;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;652362;168939.705342;258.962394
Alagoas;2018;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;65350;16907.022138;258.71025
Paraná;2000;Eucalipto;2 - Outros produtos; Não especificado;705;181.890378;257.995842
Alagoas;2019;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;76700;19136.059146;249.49648799999997
Goiás;2020;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;90471;22539.635436;249.13928399999998
Paraná;1997;Eucalipto;2 - Outros produtos; Não especificado;360;89.080374;247.44781799999998
Paraná;1999;Eucalipto;2 - Outros produtos; Não especificado;440;108.274836;246.071532
Mato Grosso;2018;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;169099;40622.194926;240.23019599999998
Paraná;2001;Eucalipto;2 - Outros produtos; Não especificado;632;149.952138;237.267504
Espírito Santo;2014;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;174;40.490124;232.728912
Minas Gerais;2004;Eucalipto;2 - Outros produtos; Não especificado;19203;4445.162141999999;231.478698
Minas Gerais;2006;Eucalipto;2 - Outros produtos; Não especificado;26271;6073.3399979999995;231.18453
Mato Grosso;2017;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;127701;28917.44982;226.44632399999998
Alagoas;2017;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;51150;11537.773248;225.56382
Tocantins;2022;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3200;720.207312;225.059532
Espírito Santo;2013;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;694622;154155.79872000002;221.928744
Rio de Janeiro;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;197088;43512.22743;220.77308399999998
